Frame,Luminance value,base line
687,162.9083591,
688,163.805156,
689,164.1937939,
690,164.9433256,
691,164.9322004,
692,165.4844777,
693,166.0422237,
694,166.2569216,
695,166.2342306,
696,166.6323034,
697,167.3315206,
698,167.9127807,
699,167.8273608,
700,167.7865989,
701,167.5714978,
702,166.7315451,
703,165.8213492,
704,165.5662869,
705,165.5673842,
706,164.7026677,
707,164.5378327,
708,163.4986867,
709,162.931735,
710,162.9351439,
711,161.8593256,
712,160.2166465,
713,159.120236,
714,158.8387224,
715,158.8735939,
716,158.3752224,
717,158.3917743,
718,158.6930769,
719,158.7067149,
720,158.9149856,
721,158.9561415,
722,159.0044094,
723,159.3025284,
724,159.2624327,
725,159.3692111,
726,159.506122,
727,159.6062675,
728,159.8897871,
729,159.8572016,
730,160.1064171,
731,161.1913899,
732,162.7324425,
733,163.9748556,
734,164.6171184,
735,165.6657718,
736,166.6925386,
737,167.4544414,
738,167.4541396,
739,167.9279097,
740,168.958168,
741,170.0957043,
742,170.1337309,
743,170.9985421,
744,171.1773735,
745,171.7601067,
746,172.3416346,
747,172.3393926,
748,172.719184,
749,172.9011157,
750,173.3341872,
751,173.5208219,
752,173.543664,
753,173.8419892,
754,173.8604412,
755,173.5757097,
756,172.5385988,
757,172.5367545,
758,171.6843306,
759,171.2358538,
760,170.2518808,
761,169.3484369,
762,169.3503509,
763,169.1665682,
764,169.0533682,
765,168.6997033,
766,168.6826936,
767,168.299711,
768,167.8751557,
769,167.6635932,
770,167.2321467,
771,167.2329467,
772,166.972648,
773,166.7281598,
774,166.6774258,
775,166.5125232,
776,166.5136673,
777,166.3753828,
778,166.2727764,
779,166.1335866,
780,166.0870347,
781,166.1197151,
782,166.0288705,
783,166.0013296,
784,165.9947368,
785,165.9958937,
786,166.260142,
787,166.6024604,
788,167.3438356,
789,167.9138095,
790,167.9108429,
791,169.0336706,
792,169.9456222,
793,170.9075141,
794,171.8425746,
795,171.8700812,
796,173.5587083,
797,173.9103498,
798,173.8846719,
799,173.9466257,
800,173.9455412,
801,173.2865777,
802,173.1771542,
803,174.3058141,
804,174.7888153,
805,174.7865622,
806,175.0643843,
807,175.215764,
808,175.0900706,
809,175.0939163,
810,175.1750476,
811,175.848501,
812,176.374601,
813,176.5574906,
814,176.5626486,
815,176.6876218,
816,176.4969975,
817,177.025973,
818,177.0285167,
819,177.0442831,
820,176.3618142,
821,174.9056876,
822,174.0846482,
823,172.2664798,
824,172.2689977,
825,171.3686949,
826,170.8192497,
827,170.2092249,
828,169.9423488,
829,169.9528843,
830,169.8991549,
831,169.6320588,
832,169.2595741,
833,169.0893674,
834,169.1579008,
835,169.2197918,
836,168.9616429,
837,168.9606932,
838,168.5201436,
839,168.447704,
840,168.4906048,
841,168.7760972,
842,168.7638662,
843,169.1123223,
844,169.2770274,
845,169.4487131,
846,170.0771575,
847,170.0580269,
848,170.9862032,
849,171.40394,
850,172.1739832,
851,173.2763919,
852,173.2790302,
853,174.297958,
854,174.7420016,
855,175.2564613,
856,175.2541965,
857,175.3074526,
858,174.9147514,
859,174.703866,
860,174.5433919,
861,174.5588925,
862,175.3896851,
863,176.2440711,
864,176.666043,
865,177.3970047,
866,177.3947088,
867,178.0354443,
868,178.6931636,
869,178.9951954,
870,179.5364619,
871,179.5308865,
872,179.6323248,
873,179.4803655,
874,179.5173214,
875,179.5074169,
876,179.5019615,
877,179.3349196,
878,178.6623768,
879,178.5839805,
880,178.5793192,
881,179.2174746,
882,179.2133289,
883,178.7984154,
884,178.8613179,
885,178.8640915,
886,178.8780032,
887,178.4645012,
888,178.3704664,
889,178.4100776,
890,178.4121013,
891,178.465385,
892,178.0598206,
893,177.6175469,
894,177.3012079,
895,177.2994527,
896,176.4707505,
897,175.97458,
898,175.7382752,
899,175.7391983,
900,175.5958828,
901,175.2647985,
902,175.5177152,
903,175.6352335,
904,175.6350427,
905,175.5685227,
906,175.2691266,
907,175.29629,
908,175.0655493,
909,175.0707068,
910,174.9957028,
911,175.0275563,
912,175.0106226,
913,174.4625057,
914,174.4832297,
915,174.4149164,
916,174.3488309,
917,174.4462225,
918,175.24975,
919,175.2761059,
920,175.5966943,
921,176.1745703,
922,176.6932493,
923,176.6882511,
924,177.4713176,
925,177.8778826,
926,178.5515429,
927,178.9237723,
928,178.9246875,
929,178.7700983,
930,178.4778598,
931,177.6465956,
932,177.6427219,
933,177.8978224,
934,178.2987037,
935,179.4756469,
936,180.4094653,
937,180.3930782,
