Second,Luminance,base line
659,154.0281209,
660,154.2717489,
661,154.2494914,
662,154.481767,
663,154.6343048,
664,154.8870737,
665,155.3428667,
666,155.3455355,
667,155.9249777,
668,156.316888,
669,156.8377863,
670,157.203851,
671,157.2030226,
672,157.4020162,
673,157.3886627,
674,157.4203985,
675,157.4203246,
676,157.8363295,
677,158.7696707,
678,159.3051626,
679,160.2454156,
680,160.2468862,
681,160.6009908,
682,160.8943426,
683,161.1799694,
684,161.9390125,
685,161.925419,
686,162.9083591,
687,163.805156,
688,164.1937939,
689,164.9433256,
690,164.9322004,
691,165.4844777,
692,166.0422237,
693,166.2569216,
694,166.2342306,
695,166.6323034,
696,167.3315206,
697,167.9127807,
698,167.8273608,
699,167.7865989,
700,167.5714978,
701,166.7315451,
702,165.8213492,
703,165.5662869,
704,165.5673842,
705,164.7026677,
706,164.5378327,
707,163.4986867,
708,162.931735,
709,162.9351439,
710,161.8593256,
711,160.2166465,
712,159.120236,
713,158.8387224,
714,158.8735939,
715,158.3752224,
716,158.3917743,
717,158.6930769,
718,158.7067149,
719,158.9149856,
720,158.9561415,
721,159.0044094,
722,159.3025284,
723,159.2624327,
724,159.3692111,
725,159.506122,
726,159.6062675,
727,159.8897871,
728,159.8572016,
729,160.1064171,
730,161.1913899,
731,162.7324425,
732,163.9748556,
733,164.6171184,
734,165.6657718,
735,166.6925386,
736,167.4544414,
737,167.4541396,
738,167.9279097,
739,168.958168,
740,170.0957043,
741,170.1337309,
742,170.9985421,
743,171.1773735,
744,171.7601067,
745,172.3416346,
746,172.3393926,
747,172.719184,
748,172.9011157,
749,173.3341872,
750,173.5208219,
751,173.543664,
752,173.8419892,
753,173.8604412,
754,173.5757097,
755,172.5385988,
756,172.5367545,
757,171.6843306,
758,171.2358538,
759,170.2518808,
760,169.3484369,
761,169.3503509,
762,169.1665682,
763,169.0533682,
764,168.6997033,
765,168.6826936,
766,168.299711,
767,167.8751557,
768,167.6635932,
769,167.2321467,
770,167.2329467,
771,166.972648,
772,166.7281598,
773,166.6774258,
774,166.5125232,
775,166.5136673,
776,166.3753828,
777,166.2727764,
778,166.1335866,
779,166.0870347,
780,166.1197151,
781,166.0288705,
782,166.0013296,
783,165.9947368,
784,165.9958937,
785,166.260142,
786,166.6024604,
787,167.3438356,
788,167.9138095,
789,167.9108429,
790,169.0336706,
791,169.9456222,
792,170.9075141,
793,171.8425746,
794,171.8700812,
795,173.5587083,
796,173.9103498,
797,173.8846719,
798,173.9466257,
799,173.9455412,
800,173.2865777,
801,173.1771542,
802,174.3058141,
803,174.7888153,
804,174.7865622,
805,175.0643843,
806,175.215764,
807,175.0900706,
808,175.0939163,
809,175.1750476,
810,175.848501,
811,176.374601,
812,176.5574906,
813,176.5626486,
814,176.6876218,
815,176.4969975,
816,177.025973,
817,177.0285167,
818,177.0442831,
819,176.3618142,
820,174.9056876,
821,174.0846482,
822,172.2664798,
823,172.2689977,
824,171.3686949,
825,170.8192497,
826,170.2092249,
827,169.9423488,
828,169.9528843,
829,169.8991549,
830,169.6320588,
831,169.2595741,
832,169.0893674,
833,169.1579008,
834,169.2197918,
835,168.9616429,
836,168.9606932,
837,168.5201436,
838,168.447704,
839,168.4906048,
840,168.7760972,
841,168.7638662,
842,169.1123223,
843,169.2770274,
844,169.4487131,
845,170.0771575,
846,170.0580269,
847,170.9862032,
848,171.40394,
849,172.1739832,
850,173.2763919,
851,173.2790302,
852,174.297958,
853,174.7420016,
854,175.2564613,
855,175.2541965,
856,175.3074526,
857,174.9147514,
858,174.703866,
859,174.5433919,
860,174.5588925,
861,175.3896851,
862,176.2440711,
863,176.666043,
864,177.3970047,
865,177.3947088,
866,178.0354443,
867,178.6931636,
868,178.9951954,
869,179.5364619,
870,179.5308865,
871,179.6323248,
872,179.4803655,
873,179.5173214,
874,179.5074169,
875,179.5019615,
876,179.3349196,
877,178.6623768,
878,178.5839805,
879,178.5793192,
880,179.2174746,
881,179.2133289,
882,178.7984154,
883,178.8613179,
884,178.8640915,
885,178.8780032,
886,178.4645012,
887,178.3704664,
888,178.4100776,
889,178.4121013,
890,178.465385,
891,178.0598206,
892,177.6175469,
893,177.3012079,
894,177.2994527,
895,176.4707505,
896,175.97458,
897,175.7382752,
898,175.7391983,
899,175.5958828,
900,175.2647985,
901,175.5177152,
902,175.6352335,
903,175.6350427,
904,175.5685227,
905,175.2691266,
906,175.29629,
907,175.0655493,
908,175.0707068,
909,174.9957028,
910,175.0275563,
911,175.0106226,
912,174.4625057,
913,174.4832297,
914,174.4149164,
915,174.3488309,
916,174.4462225,
917,175.24975,
918,175.2761059,
919,175.5966943,
920,176.1745703,
921,176.6932493,
922,176.6882511,
923,177.4713176,
924,177.8778826,
925,178.5515429,
926,178.9237723,
927,178.9246875,
928,178.7700983,
929,178.4778598,
930,177.6465956,
931,177.6427219,
932,177.8978224,
933,178.2987037,
934,179.4756469,
935,180.4094653,
936,180.3930782,
937,180.9225223,
938,181.0895768,
939,181.5851514,
940,181.8949042,
941,181.8983222,
942,181.2461709,
943,180.5234022,
944,179.6668474,
945,179.6789315,
946,179.7570334,
947,179.6006372,
948,179.2508116,
949,179.3039795,
950,179.3065381,
951,179.5423205,
952,178.9812118,
953,178.784331,
954,178.6840038,
955,178.6797207,
956,178.679149,
957,178.4252131,
958,178.2797552,
959,177.8945213,
960,177.8949253,
961,177.6178347,
962,177.420757,
963,177.3745836,
964,177.3747429,
965,177.5124763,
966,177.4760733,
967,177.1000368,
968,176.8817065,
969,176.8809786,
970,176.7136808,
971,176.8008082,
972,176.74831,
973,176.5581832,
974,176.5703523,
975,176.2924244,
976,176.5720818,
977,177.0124789,
978,177.3026012,
979,177.3058867,
980,177.9499146,
981,178.1871569,
982,178.2544335,
983,178.3057543,
984,178.3021493,
985,179.0266933,
986,180.1467734,
987,181.0571231,
988,181.0580288,
989,181.3733863,
990,181.6804012,
991,182.2601341,
992,183.1341953,
993,183.1357916,
994,183.5526748,
995,184.1908839,
996,183.9859933,
997,183.4962782,
998,183.4940301,
999,183.5459792,
1000,184.305997,
1001,184.5403813,
1002,183.5176207,
1003,183.5099426,
1004,182.4836806,
1005,181.6876484,
1006,181.9864578,
1007,181.118146,
1008,181.1246842,
1009,180.4008817,
1010,179.401709,
1011,179.6082124,
1012,179.6097708,
1013,157.6251747,
1014,157.1278893,
1015,155.828835,
1016,153.4284009,
1017,153.4314186,
1018,150.9334689,
1019,150.2175781,
1020,149.9417814,
1021,150.1128844,
1022,150.1138782,
1023,150.3352874,
1024,150.4255159,
1025,151.1670811,
1026,152.0059627,
1027,151.9856306,
1028,152.4961651,
1029,152.7408744,
1030,152.9987514,
1031,152.9972325,
1032,153.3222839,
1033,153.356657,
1034,153.4173819,
1035,153.4167064,
1036,153.488828,
1037,153.8304455,
1038,153.9361069,
1039,154.0057171,
1040,154.1474977,
1041,154.1770225,
1042,154.2410624,
1043,154.2392438,
1044,166.9923285,base line
1045,166.9920821,base line
1046,166.9918749,base line
1047,166.9921506,base line
1048,166.992131,base line
1049,166.9921955,base line
1050,166.9924442,base line
1051,166.9922747,base line
1052,166.9920302,base line
1053,166.9919959,base line
1054,166.9918513,base line
1055,166.9920043,base line
1056,166.9917108,base line
1057,166.9920705,base line
1058,166.9919101,base line
1059,166.9920405,base line
1060,166.9917246,base line
1061,166.99209,base line
1062,166.9917746,base line
1063,166.9919282,base line
1064,166.9919206,base line
1065,166.9914547,base line
1066,166.9917081,base line
1067,166.9917714,base line
1068,166.9916593,base line
1069,166.9918259,base line
1070,166.9917774,base line
1071,166.9916697,base line
1072,166.991718,base line
1073,166.9910426,base line
1074,166.9916194,base line
1075,166.9917456,base line
1076,166.9918961,base line
1077,166.9916327,base line
1078,166.9919196,base line
1079,166.9921838,base line
1080,166.9920195,base line
1081,166.9913962,base line
1082,166.9917743,base line
1083,166.9920368,base line
1084,166.9919906,base line
1085,166.9916849,base line
1086,166.9921941,base line
1087,166.9922439,base line
1088,166.9922067,base line
1089,166.9918648,base line
1090,166.9922107,base line
1091,166.9921686,base line
1092,166.9920639,base line
1093,166.9917416,base line
1094,166.9926011,base line
1095,166.9924446,base line
1096,166.9921776,base line
1097,166.9916732,base line
1098,166.9923989,base line
1099,166.9921738,base line
1100,166.9923558,base line
1101,166.9917538,base line
1102,166.9913828,base line
1103,166.9912404,base line
1104,166.9914947,base line
1105,166.9915013,base line
1106,166.9915549,base line
1107,166.9915887,base line
1108,166.9917789,base line
1109,166.991836,base line
1110,166.991442,base line
1111,166.9911622,base line
1112,166.9914764,base line
1113,166.9916715,base line
1114,166.9916761,base line
1115,166.9916704,base line
1116,166.9917211,base line
1117,166.9915049,base line
1118,166.9919478,base line
1119,166.9918021,base line
1120,166.992165,base line
1121,166.992129,base line
1122,166.9922058,base line
1123,166.9919824,base line
1124,166.9924835,base line
1125,166.9923437,base line
1126,166.992031,base line
1127,166.9923293,base line
1128,166.9923843,base line
1129,166.9926207,base line
1130,166.9919997,base line
1131,166.9910267,base line
1132,166.9909706,base line
1133,166.9912397,base line
1134,166.991314,base line
1135,166.9916026,base line
1136,166.9917502,base line
1137,166.9915931,base line
1138,166.9916917,base line
1139,166.9912446,base line
1140,166.9911898,base line
1141,166.9918123,base line
1142,166.9913228,base line
1143,166.9912632,base line
1144,166.9913535,base line
1145,166.9916265,base line
1146,166.9918572,base line
1147,166.9914352,base line
1148,166.9916256,base line
1149,166.9916959,base line
1150,166.9917003,base line
1151,166.9915839,base line
1152,166.9913457,base line
1153,165.7463497,
1154,165.7463442,
1155,165.8923212,
1156,165.8923212,
1157,165.5533206,
1158,165.5578616,
1159,165.6499884,
1160,165.4570236,
1161,165.4573349,
1162,165.5651379,
1163,165.5651379,
1164,165.464001,
1165,165.4639283,
1166,165.6795117,
1167,165.5592689,
1168,165.5592689,
1169,165.5213108,
1170,165.5276588,
1171,165.6309222,
1172,165.6309222,
1173,165.5234348,
1174,165.5321481,
1175,165.5321481,
1176,165.3419686,
1177,165.3418763,
1178,165.4262776,
1179,165.423056,
1180,165.3813598,
1181,165.1995785,
1182,165.0451362,
1183,165.1981764,
1184,165.2026147,
1185,165.0966111,
1186,165.0966241,
1187,165.087764,
1188,165.046017,
1189,165.046017,
1190,164.9863367,
1191,164.9817809,
1192,165.0328417,
1193,164.8847966,
1194,164.8705157,
1195,165.1532029,
1196,165.1532029,
1197,165.1619375,
1198,165.1618907,
1199,165.4197419,
1200,165.4128569,
1201,165.4128569,
1202,165.5589779,
1203,165.5679512,
1204,165.6427331,
1205,165.6427331,
1206,165.6513681,
1207,165.7442399,
1208,165.7442399,
1209,165.6670327,
1210,165.6670363,
1211,165.6608442,
1212,165.6608442,
1213,165.8197246,
1214,165.8404563,
1215,165.8404695,
1216,165.9807694,
1217,165.970054,
1218,165.9022674,
1219,165.9032709,
1220,166.0370181,
1221,165.9635496,
1222,165.958936,
1223,165.8832963,
1224,165.8763818,
1225,165.9696941,
1226,165.7175246,
1227,165.7149722,
1228,165.86392,
1229,165.86392,
1230,165.9015269,
1231,165.9014596,
1232,165.9533782,
1233,165.7649327,
1234,165.7702718,
1235,165.4785703,
1236,165.4728383,
1237,165.5522793,
1238,165.5522793,
1239,165.4685735,
1240,165.4271083,
1241,165.4271302,
1242,165.7428609,
1243,165.7428609,
1244,165.7492959,
1245,165.7894523,
1246,166.1459299,
1247,166.0820333,
1248,166.0848726,
1249,166.2674372,
1250,166.2674372,
1251,166.0975651,
1252,166.1036315,
1253,166.2837747,
1254,166.2456776,
1255,166.2456776,
1256,166.1503021,
1257,166.153554,
1258,166.2541193,
1259,166.1269772,
1260,166.1269486,
1261,166.166361,
1262,166.166361,
1263,165.83867,
1264,165.8386285,
1265,165.5322665,
1266,164.9110466,
1267,164.947433,
1268,164.69036,
1269,164.6038626,
1270,164.8137407,
1271,164.8137407,
1272,164.4719913,
1273,164.2374928,
1274,164.2492804,
1275,164.3980535,
1276,164.3980535,
1277,164.2100693,
1278,164.2112468,
1279,164.4018783,
1280,164.3010403,
1281,164.301012,
1282,164.4256279,
1283,164.4256279,
1284,164.301351,
1285,164.3014155,
1286,164.6475139,
1287,164.7451276,
1288,164.7451276,
1289,164.6849433,
1290,164.6761394,
1291,164.7858284,
1292,164.4593201,
1293,164.4592312,
1294,164.7743543,
1295,164.7743543,
1296,164.8037249,
1297,164.8051819,
1298,164.7103051,
1299,164.9922085,
1300,165.0055916,
1301,164.8943526,
1302,164.8941593,
1303,165.1358291,
1304,165.1358291,
1305,165.1360617,
1306,165.0999662,
1307,165.1017214,
1308,165.3203602,
1309,165.3203602,
1310,165.0266953,
1311,165.0270598,
1312,165.1683873,
1313,164.9827543,
1314,164.9817337,
1315,165.2127059,
1316,165.2127059,
1317,165.0598276,
1318,165.0598427,
1319,165.2063973,
1320,165.3259499,
1321,165.2926184,
1322,165.3542331,
1323,165.3594895,
1324,165.4451187,
1325,165.4451187,
1326,165.4493824,
1327,165.5019772,
1328,165.5019234,
1329,165.7605578,
1330,165.7605578,
1331,165.867051,
1332,165.9760438,
1333,166.0389646,
1334,166.1496206,
1335,166.1494307,
1336,166.3509134,
1337,166.3509134,
1338,166.3634865,
1339,166.2823117,
1340,166.3075264,
1341,166.4951741,
1342,166.5296916,
1343,166.4073267,
1344,166.4476083,
1345,166.7477028,
1346,166.9280089,
1347,166.9286256,
1348,167.4113157,
1349,167.3620148,
1350,167.4747898,
1351,167.4743256,
1352,167.7689796,
1353,167.9891767,
1354,167.9891767,
1355,168.3319889,
1356,168.3958458,
1357,169.0008635,
1358,168.9975471,
1359,169.6539668,
1360,170.2750292,
1361,170.2846381,
1362,171.10106,
1363,171.1260735,
1364,172.0645042,
1365,172.7989098,
1366,172.7989098,
1367,173.279152,
1368,173.2863132,
1369,173.5933519,
1370,173.5933519,
1371,173.7205242,
1372,174.3708404,
1373,174.3708404,
1374,174.6959494,
1375,174.6498726,
1376,175.2573438,
1377,175.2573438,
1378,175.7458959,
1379,175.4972102,
1380,175.4972102,
1381,174.9854715,
1382,175.0494465,
1383,174.8762067,
1384,166.9923285,base line
1385,166.9920821,base line
1386,166.9918749,base line
1387,166.9921506,base line
1388,166.992131,base line
1389,166.9921955,base line
1390,166.9924442,base line
1391,166.9922747,base line
1392,166.9920302,base line
1393,166.9919959,base line
1394,166.9918513,base line
1395,166.9920043,base line
1396,166.9917108,base line
1397,166.9920705,base line
1398,166.9919101,base line
1399,166.9920405,base line
1400,166.9917246,base line
1401,166.99209,base line
1402,166.9917746,base line
1403,166.9919282,base line
1404,166.9919206,base line
1405,166.9917036,base line
1406,166.9918474,base line
1407,166.9918997,base line
1408,166.9916593,base line
1409,166.9919875,base line
1410,166.9922171,base line
1411,166.9917939,base line
1412,166.9918016,base line
1413,166.9910628,base line
1414,166.9918125,base line
1415,166.9919036,base line
1416,166.9916336,base line
1417,166.9917509,base line
1418,166.9916133,base line
1419,166.9915623,base line
1420,166.99173,base line
1421,166.9920039,base line
1422,166.9918047,base line
1423,166.991901,base line
1424,166.9920008,base line
1425,166.9915978,base line
1426,166.9918536,base line
1427,166.9921595,base line
1428,166.9917745,base line
1429,166.9922126,base line
1430,166.9919192,base line
1431,166.991846,base line
1432,166.9916391,base line
